NAME,COUNTY,GNIS_MATCH,GNIS_COUNT,GNIS_LAT,GNIS_LON,GNIS_SIMIL,INCORP_YR,YR_1850,YR_1860,YR_1870,YR_1880,YR_1890,YR_1900,YR_1910,YR_1920,YR_1930,YR_1940,YR_1950,YR_1960,YR_1970,YR_1980,YR_1990,YR_2000
Big Meadows,Plumas,Big Creek,Plumas,39.91961180000,-121.09023630000,0.76704545455,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0
Big Oak Flat,Tuolumne,Big Oak Flat,Tuolumne,37.82353910000,-120.25824560000,1.00000000000,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
Big River,Mendocino,Big River,Mendocino,39.30211910000,-123.79473670000,1.00000000000,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big River,San Bernardino,Big River,San Bernardino,34.14001590000,-114.36134250000,1.00000000000,0,0,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Shasta Valley,Siskiyou,Shasta Valley,Siskiyou,41.81514310000,-122.43557610000,0.94117647059,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
Biggs,Butte,Biggs,Butte,39.41238760000,-121.71275130000,1.00000000000,1903,0,0,0,95,571,0,403,683,463,547,784,831,1,1,2,2
Binghamton,Solano,Binghamton,Solano,38.35129980000,-121.82273880000,1.00000000000,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0
Birchville,Nevada,Birchville,Nevada,39.32767010000,-121.14439960000,1.00000000000,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0
Bird Flat,Placer,P-Bar Flats,Santa Barbara,34.51471560000,-119.58985180000,0.82280067428,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
Bishop - Bishop Creek,Inyo,Bishop Creek,Inyo,37.35242980000,-118.46011300000,0.92727272727,1903,0,0,624,0,0,0,0,0,0,0,0,3,3,3,3,4
Bishops Creek,Inyo,Bishop Creek,Inyo,37.35242980000,-118.46011300000,0.97304092069,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0
Blacks,Yolo,Black Mountain,Yolo,38.80712350000,-122.24192020000,0.92688220817,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
Blocksburg,Humboldt,Blocksburg,Humboldt,40.27597690000,-123.63642060000,1.00000000000,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield,Sonoma,Bloomfield,Sonoma,38.31380500000,-122.85110460000,1.00000000000,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0
Blue Canyon,Placer,Blue Canyon,Placer,39.20045540000,-120.74743480000,1.00000000000,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0
Blue Tent,Nevada,Blue Tent,Nevada,39.31017200000,-120.97355890000,1.00000000000,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0
Boca,Nevada,Boca,Nevada,39.38601840000,-120.09408680000,1.00000000000,0,0,0,0,123,266,0,0,0,0,0,0,0,0,0,0,0
Bodega Corners,Sonoma,Bodega,Sonoma,38.39019330000,-123.03805660000,0.92631578947,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0
Bodie,Mono,Bodie,Mono,38.21214010000,-119.01208740000,1.00000000000,0,0,0,0,3,595,0,0,0,0,0,0,0,0,0,0,0
Borden,Fresno,Borden,Madera,36.92994660000,-120.02654890000,0.74436090226,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0
Bostwick Bar,Calaveras,Bostick Bar,Calaveras,37.97548020000,-120.52908820000,0.98340657378,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Bourn's Landing,Mendocino,Bourns Landing,Mendocino,38.78491100000,-123.56278870000,0.98522167488,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowling Green,Yuba,Bowling Green,San Diego,32.73255090000,-117.15753320000,0.73260073260,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeport,Solano,Bridgeport,Mono,38.25575270000,-119.23126560000,0.65384615385,0,0,0,60,335,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeport,Mono,Bridgeport,Mono,38.25575270000,-119.23126560000,1.00000000000,0,0,0,60,335,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeville,Humboldt,Bridgeville,Humboldt,40.46930640000,-123.79976280000,1.00000000000,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
Bronco,Nevada,Bronco,Nevada,39.38629690000,-120.02269660000,1.00000000000,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
Browns Valley,Yuba,Browns Valley,Yuba,39.24211390000,-121.40912970000,1.00000000000,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0
Butchers Ranch,Placer,Butcher Ranch,Placer,38.95600930000,-120.95410760000,0.98579171672,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0
Butte Creek,Colusa,Butte Creek School,Colusa,39.30405440000,-122.01275210000,0.96923076923,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butte Creek Mines,Butte,Bottle Creek,Butte,40.00793780000,-121.57136330000,0.88211138675,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0
Butteville,Siskiyou,Butteville Union Elementary School,Siskiyou,41.45737080000,-122.43140680000,0.91851851852,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
Cache Creek,Yolo,Cache Creek,Yolo,38.69157120000,-121.75801910000,1.00000000000,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cacheville,Yolo,Cache Creek,Yolo,38.69157120000,-121.75801910000,0.90169708509,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0
