city,longitude,latitude
San Jose,-121.8863,37.3382
Sunnyvale,-122.0375,37.3711
Mountain View,-122.0819,37.3894
Cupertino,-122.0419,37.3175
Los Altos Hills,-122.1375,37.3714
Milpitas,-121.8950,37.4347
Santa Clara,-121.9692,37.3544
Campbell,-121.9550,37.2839
Saratoga,-122.0194,37.2725
Los Gatos,-121.9617,37.2361
